 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  44   45      131  84    1.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  79   80      187  72    3.06   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  57   56      167  81    3.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  68   69      205  79    2.90   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  37   37      175  91    3.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  44   45       93  87    2.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   11       27  96    0.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       30  97    0.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  12   12       37  96    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       11  99    0.07   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       16  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   16       36  95    0.30   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       15  97    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  48   47      112  87    2.51   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  20   20       41  94    0.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   1    1       18 100    0.03   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       47  98    0.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   17       73  95    1.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  61   61      211  81    6.81   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 110  111      451  61   13.55   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 121  122      446  57   13.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  47   48      184  91    2.89   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   17       87  95    1.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  65   66      181  76    3.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15       72  93    1.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  33   33      163  88    5.85   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   2    2       35  97    0.82   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       93  90    1.50   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       46  95    0.64   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       76  92    1.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10      112  89    1.54   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       59  93    1.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       28  96    0.51   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       48  98    0.33   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       41  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       69  93    2.47   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       42  97    0.99   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       85  93    0.96   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       23  98    0.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       32  95    0.52   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       28  97    0.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       26  97    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   1    1       46  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  35   35      298  63    5.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  23   23      196  76    4.97   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  31   31      239  67    7.33   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 106  107      398  53   12.30   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  28   28       69  91    0.75   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   11       21  97    0.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    1       14  99    0.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  20   21       82  92    0.92   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   14       27  95    0.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 106  107      278  67    7.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  23   22      103  91    0.45   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  37   38      134  86    0.54   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       59  95    0.72   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 137  138      436  54   15.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 136  138      447  59   14.76   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  64   64      177  82    6.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  69   70      189  80    6.50   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 116  118      381  66   10.67   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 137  136      430  63   11.68   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  94   96      368  75    9.74   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  85   86      376  63   17.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 142  144      429  54   13.32   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 135  136      399  57   13.61   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 140  142      463  55   14.59   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  84   83      256  78    7.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  65   66      295  66   16.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  68   68      253  74   15.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  53   54      390  54   24.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   18      152  83    8.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  64   65      471  46   33.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  34   35      267  75   16.74   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  39   41      248  65   21.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  44   46      144  83    8.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    4       24  99    0.33   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  70   71      201  80    7.69   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  32   33      106  92    2.76   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       57 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   0    0       45 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  33   33      119  89    4.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  44   44      116  89    3.52   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  31   31      116  90    2.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  57   57      140  80    2.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   11       27  96    0.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       52  93    0.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   14       39  96    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       30  96    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       50  93    0.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       22  97    0.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   11       26  96    0.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       16  98    0.15   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       13  99    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  69   69      257  75    7.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 145  147      482  53   16.80   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  77   77      216  78    7.66   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  90   92      237  72    8.48   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  79   80      219  79    6.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 131  131      455  63   12.58   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  92   93      325  76    7.97   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 115  117      515  57   21.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 131  133      387  60   11.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 125  125      376  60   12.42   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 133  135      424  56   13.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 122  121      381  65   11.46   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  77   79      224  81    6.81   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  34   34      250  67   17.78   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  90   91      415  58   25.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  21   21      175  77    9.48   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  46   47      346  59   23.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  66   67      493  48   34.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       59  94    3.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  59   62      315  56   25.55   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       74  95    1.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  48   49      154  84    5.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  41   41       99  92    3.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   14       81  96    1.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       58 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       17 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  55   55      188  82    6.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  27   27       82  94    1.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  75   76      198  74    4.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   13       40  95    0.29   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   18       40  94    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       26  97    0.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   17       45  94    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       46  93    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   16       40  94    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       11  98    0.08   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       32  95    0.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       10  99    0.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       21  97    0.62   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       74  92    1.52   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 103  104      270  70    3.98   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  65   66      202  85    2.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  82   82      236  85    5.32   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  67   68      257  85    6.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  27   27      252  88    5.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   14      157  94    3.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  57   56      607  73   12.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  86   88      587  65   14.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 155  155      569  74    4.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 142  142      594  72    8.59   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  52   53      512  65   16.78   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  93   94      494  60   22.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 125  125      358  80    7.52   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 114  114      381  79    6.31   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 162  163      653  63   18.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 144  144      465  74   11.03   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 148  149      568  64   12.87   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 114  115      313  93    3.74   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 147  147      483  57   15.61   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 128  128      403  88    5.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 103  102      406  76    3.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 109  110      407  83    3.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  93   94      336  83    4.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 139  140      346  75    3.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  90   89      207  92    2.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 105  106      281  90    3.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  97   96      266  82    3.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 119  120      379  83    6.50   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 108  108      248  86    3.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 107  107      218  92    2.71   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 110  110      301  88    4.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  42   41      275  91    4.98   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  32   33      240  93    4.78   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  38   38      271  89    5.70   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  37   36      274  90    5.48   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  33   35      309  85    6.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  48   48      418  63   15.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 142  143      432  67   12.07   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 137  139      427  67   11.79   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  93   93      227  92    2.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 118  118      311  85    3.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 150  152      378  71    8.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 120  120      449  74    5.75   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 121  122      311  63   10.78   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 131  134      393  57   12.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 131  131      393  59    7.06   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 156  157      382  53   11.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 149  151      578  54    9.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 189  192      623  54   16.64   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 119  120      437  67    7.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  82   85      382  52   26.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 118  119      557  59    8.06   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 138  140      446  58    4.45   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 100  100      421  72    3.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 117  117      400  72    2.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 125  126      396  68    2.47   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 126  127      358  74    2.52   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 121  120      335  71    2.78   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 125  126      466  71    3.31   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 129  129      317  78    2.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 103  103      502  78    4.70   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       50  99    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       40  95    1.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       69  95    1.72   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       56  93    1.57   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       65  97    0.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       34  95    0.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       13  98    0.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       37  96    0.50   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       24  97    0.30   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       73  97    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  47   47      365  50    7.45   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  16   16      171  83    2.95   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  38   38      246  63   11.86   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 102  103      345  62    7.61   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   18       39  94    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   11       21  97    0.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    4       36  99    0.08   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  20   21       66  92    1.03   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  44   45      114  86    3.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  82   82      215  74    5.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  42   42      158  83    0.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       59  96    0.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  48   48      178  82    4.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 135  137      468  55   16.63   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 109  110      323  69   10.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  92   93      242  71    8.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  51   51      143  87    4.55   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 136  137      464  61   12.83   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  99  100      321  73    8.70   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 118  119      518  62   19.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 108  110      347  63   11.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 130  131      388  59   12.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 142  144      420  55   14.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 129  129      448  60   13.56   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  69   69      189  83    5.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  53   53      292  64   18.07   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  81   81      333  70   20.63   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  34   36      283  64   16.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  31   31      251  72   14.61   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  70   72      505  42   37.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15      115  90    5.80   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  64   67      342  53   28.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       72  95    1.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  29   30       91  91    3.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  44   44      133  88    4.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  29   30      102  93    2.42   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       57 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   0    0       28 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  49   49      178  83    5.79   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  33   33       82  92    1.99   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  59   59      175  80    4.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  25   26       60  91    0.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   16       42  94    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       33  96    0.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   17       49  94    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   16       40  94    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       46  93    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
