 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   9    8       72  96    0.90   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       25  98    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       25  98    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       26  99    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       22  99    0.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    7       68  96    0.79   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       22  99    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       25  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       24  99    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       26  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8       66  97    0.82   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       23  99    0.33   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       23  99    0.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       21  99    0.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       25  99    0.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       65  96    0.85   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   4    4       29  97    0.37   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       22  99    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       23  99    0.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       25  98    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       49  98    0.64   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       28  99    0.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       26  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       20  99    0.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       22  99    0.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       52  97    0.59   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       34  98    0.54   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       21  99    0.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    2       34  98    0.32   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    3       25  98    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       56  97    0.70   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    4       35  98    0.53   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       23  99    0.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       21  99    0.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   2    3       22  99    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    5       58  96    0.67   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    5       29  98    0.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    2       22  99    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    3       21  99    0.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    2       23  99    0.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       56  97    0.67   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       34  98    0.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       22 100    0.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       24  98    0.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       19  99    0.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       51  96    0.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       34  98    0.54   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    4       24  99    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    2       23  98    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    3       23  98    0.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       48  97    0.56   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       37  98    0.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   3    3       24  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       23  99    0.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    2       21  99    0.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       49  95    2.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  62   63      198  85   11.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 101  100      277  83   15.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       23  98    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       20  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       26  99    0.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
